company_name,job_title,company_location,company_rating,salary,job_type,job_desc,apply_link
Columbia University,Data Analyst,"New York, NY",4.1 out of 5,"$60,000 - $64,000 a year",Full time," Position Summary A Data Analyst position is available in the Department of Neurology at Columbia University Medical Center in New York, NY (https://www.columbianeurology.org). We are looking for an enthusiastic and energetic individual to join our research effort investigating genetic, molecular, and behavioral variation in neurodegenerative disease and cognitive decline. This position will be carrying out bioinformatics analysis of next-generation sequencing and proteomics data and will work with a variety of investigators in the department through existing collaborations. The position therefore, offers a stimulating and multi-disciplinary environment and the opportunity to work with a variety of researchers at Columbia University. There will be many opportunities to contribute to multiple ongoing national and international collaborative projects. Along with your CV, please include a cover letter describing previous work, research interests, and future goals. Please provide contact details for 2 references.  Responsibilities  Minimum Qualifications  Preferred Qualifications  Equal Opportunity Employer / Disability / Veteran Columbia University is committed to the hiring of qualified local residents.",https://www.indeed.com/cmp/Columbia-University?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssf3jii0hn800&fromjk=5b8d5e35e0cba3fd
Saint Francis Health System,"Financial Data Analyst (Entry Level)- Tulsa, Oklahoma","6600 South Yale Avenue, Tulsa, OK 74136",3.7 out of 5,,Full time,,https://www.indeed.com/cmp/Saint-Francis-Health-System?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssfa16ge7c801&fromjk=152b42d6f9ea4c00
Cass Information Systems Inc.,Data Analyst Associate (Remote),"Columbus, OH 43231",3.2 out of 5,,Full time," Performs duties associated with our address change service process. Creates various reports, monitors, and facilitates vendor and company communication in a manner which contributes to our clients’ satisfaction. PRINCIPAL RESPONSIBILITIES AND DUTIES: SKILLS AND ABILITIES REQUIRED: MINIMUM LEVEL OF PREPARATION AND TRAINING NORMALLY REQUIRED: APPLICATION PROCESS: You can directly apply through Cass's website at https://www.cassinfo.com/careers. Please apply directly to this position via the “Apply” button. You will be required to create an account and provide your resume, contact information and other pertinent employment information. This process typically takes 20 minutes or less. Should we find that you meet the minimum requirement of the position, a member of our recruiting team will be in touch to start the interview process. ABOUT OUR COMPANY: Cass Information Systems, Inc. is a leading provider of integrated information and payment management solutions. Cass enables enterprises to achieve visibility, control and efficiency in their supply chains, communications networks, facilities and other operations. Disbursing over $90 billion annually on behalf of clients, and with total assets in excess of $2.5 billion, Cass is uniquely supported by Cass Commercial Bank. Founded in 1906 and a wholly owned subsidiary, Cass Commercial Bank provides sophisticated financial exchange services to the parent organization and its clients. Cass is part of the Russell 2000®. More information is available at www.cassinfo.com.  Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",https://www.indeed.com/cmp/Cass-Information-Systems?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssffumi0ji800&fromjk=062a592f894d10fc
The University of Iowa,Graduate Student Data Analyst,"Iowa City, IA",4.1 out of 5,$22 an hour,Part time,The graduate student data analyst will be an integral member of the Institute for Clinical and Translational Science (ICTS) biomedical informatics team. Job tasks to include but not limited to: Required Qualifications:  This position is temp/hourly at 50% for roughly 20 hours a week. The rate of pay is $22.00/hour.  Background check and references are required for hire.,https://www.indeed.com/cmp/The-University-of-Iowa?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssflsfg07b800&fromjk=7d0ece78b8206baf
"City of Baltimore, MD",Data Analyst - Baltimore City Information Technology,"3800 East Biddle Street, Baltimore, MD 21213",3.7 out of 5,"$74,803 - $119,684 a year",Full time,,https://www.indeed.com/cmp/City-of-Baltimore?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssfs0ji0jg802&fromjk=1fc2de6aedda8977
Parkhill,Data Analyst,"Frisco, TX",4.4 out of 5,,,"The Data Analyst is responsible for developing, implementing, and maintaining analytical solutions to support the business objectives of Parkhill. This role involves generating reports, creating dashboards, and performing detailed data analysis to provide actionable insights that drive strategic decision-making.  Life at Parkhill Parkhill is one of the largest architectural and engineering firms in the Southwest. We have 13 offices located throughout Texas, New Mexico, and Oklahoma. At Parkhill, Building Community is the reason we exist. We invest in extraordinary people who love investing in their communities. We are more than planners, architects, and engineers — we are neighbors who choose to live and serve in the communities we work. Increase your impact with our team of passionate collaborators. Whether you are a recent graduate with untapped potential or a professional with proven expertise, we invite you to discover a career path designed for you.  Your Contribution  Your qualifications  Benefits and Perks We offer a comprehensive benefits program that supports the whole person. Our benefits include:  EEO Statement Parkhill is committed to providing an equitable and inclusive work environment, free from discrimination and harassment, where employees are treated with respect and dignity. We are an Equal Opportunity Employer/Affirmative Action/Veteran/Disability employer and subscribe to E-Verify. We are also fully committed to recruiting, retaining, developing, and promoting the most qualified employees without regard to their race, religion, color, sex, gender identity, sexual orientation, pregnancy, marital or parental status, national origin, age, disability, family medical history or genetic information, political affiliation, veteran status, military service, or other non-merit based factors. It is the policy of Parkhill not to discriminate because of a person’s relationship or association with a protected veteran. This includes spouses and other family members. Also, Parkhill will safeguard the fair and equitable treatment of protected veteran spouses and family members regarding all employment actions and prohibit harassment of applicants and employees because of their relationship or association with a protected veteran.",https://www.indeed.com/cmp/Parkhill?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssg250goqg800&fromjk=2345459ff5ca9be9
Headway.co,Data Analyst,,4.5 out of 5,"From $147,150 a year",,"Headway’s mission is a big one - to build a new mental health care system everyone can access. We’ve built technology that helps people find great therapists with the first software-enabled national network of providers accepting insurance. 1 in 4 people in the US have a treatable mental health condition, but the majority of providers don’t accept insurance, making therapy too expensive for most people. Headway is building a new mental healthcare system that everyone can access by making it easy for therapists to take insurance and scale their practice. Headway was founded in 2019 – since then, we’ve grown into a diverse, national network of over 30,000 mental healthcare providers across all 50 states who run their practice on our software. We’re a Series C company with over $225m in funding from a16z (Andreessen Horowitz), Accel, GV (formerly Google Ventures), Spark Capital, Thrive Capital, and Health Care Service Corporation. We want your time here to be the most meaningful experience of your career. Join us, and help change mental healthcare for the better. Building a new mental healthcare system at Headway is only possible because of the insights and leverage that data can provide. The data team at Headway is a small but mighty team designing the infrastructure, implementing pipelines, and driving the analytics and insights to build the mental healthcare system of the future (and have a fun time while doing it!). The data team collaborates deeply with partner teams across the company to identify and drive areas for operational improvement, unlock key insights through infrastructure and data visibility, educate the company on data and how to become more data-driven, and uses technical expertise and science to solve the mental healthcare industry’s most challenging problems. We are seeking Data Analysts to join our growing Data team. As an early member on our Data team, you'll be responsible for the growing analytics and insights needs across the organization. You’ll work with partner team leads to collect, visualize and interpret data that enables better decision-making through a deeper understanding of our marketplace growth and operations. You’ll also help build deep partnership between the Data team and the rest of the organization through data analysis and the creation of dashboards and other tools to empower various business stakeholders, and perform analyses that lead to impactful data-driven decisions. If you are a self-starter, comfortable with ambiguity and challenging problems, excited about building a data-driven culture, and motivated by making an impact, then you will be a good fit for this role. After you apply to Headway, here are some details of what to expect during the interview process. Compensation and Benefits: #LI-PA1 We believe a team's strength is in its people, and we cannot achieve this mission without a team that reflects the diversity of this problem - across race, ethnicity, gender, sexuality, age, national origin, religion, family status, disability, military status, and experience. Headway is committed to the full inclusion of all qualified individuals. As part of this commitment, Headway will ensure that persons with disabilities are provided with reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or receive other benefits and privileges of employment, please contact talent@findheadway.com Headway employees work remotely across the US, with the option to work from offices in New York City and San Francisco. Headway participates in E-Verify. To learn more, click here.",https://www.indeed.com/cmp/Headway-(ny)?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssg86bi01v800&fromjk=01d9ad3a910ec40a
University of California San Francisco,DATA ANALYST,"500 Parnassus Ave, San Francisco, CA 94143",4.1 out of 5,"$67,000 - $94,200 a year",Full time," The final salary and offer components are subject to additional approvals based on UC policy. Your placement within the salary range is dependent on a number of factors including your work experience and internal equity within this position classification at UCSF. For positions that are represented by a labor union, placement within the salary range will be guided by the rules in the collective bargaining agreement. The salary range for this position is $67,000 - $94,200 (Annual Rate). To learn more about the benefits of working at UCSF, including total compensation, please visit: https://ucnet.universityofcalifornia.edu/compensation-and-benefits/index.html Department Description Required Qualifications Preferred Qualifications About UCSF Pride Values Equal Employment Opportunity Organization Job Code and Payroll Title Job Category Bargaining Unit Employee Class Percentage Appointment End Date Location Shift Shift Length Additional Shift Details",https://www.indeed.com/cmp/University-of-California---SAN-Francisco?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssgetvgsui805&fromjk=f34de4eb15dd9278
"GitHub, Inc.",Data Analyst,,4.0 out of 5,"$73,500 - $195,000 a year",Full time,"GitHub is the place where over 83 million developers host and review code, manage projects, and collaborate on the software that powers the modern world.  GitHub’s Revenue Analytics team is on a mission to empower customer success and sales teams with data and insights and improve productivity and efficiency for our internal teams. We are looking for a Data Analyst to play a key role in support of our Customer Success team. This role provides an exciting opportunity to establish the foundation of analytics data models and enable Customer Success teams with rich data & insights. In addition to exceptional technical prowess, successful candidates for this role must exhibit extraordinary attention to detail, project management skills, be able to quickly build relationships with cross company partners and be responsive in a rapidly growing environment.  This role will work closely with multiple teams across the organization as we continue to grow and scale. The candidate will serve as a key subject area expert and will be responsible for reporting on data and metrics that will help inform Customer Success, Sales, Finance, and Product decisions. This role will also pair closely with our Data Science and Data Engineering departments to assist with ETLs and rationalizing disparate data sets.  GitHub is an exciting place to work and you'll be an important contributor and join a tight-knit environment of technical and business-minded individuals. Be the data subject matter expert and analytics point of contact within Customer Success and Revenue organization Develop comprehensive dashboards and data models to facilitate informed decision-making Partner with Customer Success and Revenue leadership to assess metric needs and compile reporting requirements Partner across stakeholders, operations, engineering teams to continuously drive improvements to data quality and sustainability Deliver insights via ad-hoc analysis in support of leadership asks, strategic initiatives and business reviews Drive enablement and communication of BI tools and data assets  Required Qualifications 5+ years experience in data analysis and reporting, business intelligence, or analysis with Customer Success, Product or Revenue teams OR Bachelor's Degree in Statistics, Mathematics, Analytics, Data Science, Engineering, Computer Science, Business, Economics or related field 1+ year(s) experience with using SQL, Python, Kusto, Airflow and other ETL / data modeling tools for collecting, organizing, analyzing and manipulating data. 1+ year(s) experience with using PowerBI or other visualization tools, data modeling and presenting analysis to stakeholders 1+ year(s) experience working with cross-functional teams and stakeholder management  Preferred Qualifications Experience with providing reporting and analytics around account health, growth, adoption, churn for Customer Success teams preferred Knowledge of data science methodologies and statistical modeling (experimental analysis, predictive modeling, propensity scoring etc.) Experience with tools such as Zendesk, Salesforce, Workday a plus Understanding of GitHub Developer Workflow (Issues, Pull Requests, etc.) Experience working with OAR/OKRs and other goal-setting techniques Experience with Azure Data Products (Azure Fabric, Azure Data Factory) a plus  GitHub values Manager fundamentals Leadership principles",https://www.indeed.com/cmp/Github?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssgl7jg07b800&fromjk=40d71af2bd4a10ce
Stanford University,Data Analyst (50% Part-Time),"Stanford, CA",4.2 out of 5,"$53,000 - $79,000 a year",Part time,"Stanford University School of Medicine is world renowned for leading edge education, research, patient care and medical advancements. The Department of Educational Programs and Services (EPS) is home to departments and programs that are central to the educational mission of the Stanford University School of Medicine. We serve all populations of students and trainees who participate in the School's programs: Stanford MD, MS, MSPA, and PhD students; visiting MD students seeking clinical clerkships; postdoctoral scholars and medical fellows; and medical practitioners seeking further professional enrichment. Our goal is to provide a Stanford School of Medicine experience worthy of our students' and trainees' talents, aspirations, and dedication.  Department Information The Stanford School of Medicine is at the forefront of medical education, training the next generation healthcare leaders. The Master of Science in PA Studies (MSPA) program educates Physician Assistant (PA) students to become not only competent clinicians, but trailblazers and leaders in the field of medicine.  Job Purpose The MSPA program is seeking an energetic, self-driven and detail-oriented Data Analyst to help collect and analyze data, maintain the existing databases, review and improve data-related processes, and assist with processes’ automation.  This position is eligible for remote work from within the United States with periodic visits to campus, subject to operational needs. In addition, a shared touchdown workspace is available for staff who wish to work onsite occasionally.  Core Duties Education & Experience (Required) Bachelor's degree and one year of experience or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics, or engineering.  Knowledge, Skills and Abilities (Required)  Desired Qualifications  Physical Requirements  Working Conditions May work extended hours during peak business cycles.  Work Standards  This remote role is open to candidates anywhere in the United States. Stanford University has five Regional Pay Structures. The compensation for this position will be based on the location of the successful candidate.  The expected pay range for this position is $53,000 to $79,000 per annum.  The actual pay will be pro-rated on the 50% FTE.  Stanford University provides pay ranges representing its good faith estimate of what the university reasonably expects to pay for a position. The pay offered to a selected candidate will be determined based on factors such as (but not limited to) the scope and responsibilities of the position, the qualifications of the selected candidate, departmental budget availability, internal equity, geographic location and external market pay for comparable jobs.  At Stanford University, base pay represents only one aspect of the comprehensive rewards package. The Cardinal at Work website (https://cardinalatwork.stanford.edu/benefits-rewards) provides detailed information on Stanford’s extensive range of benefits and rewards offered to employees. Specifics about the rewards package for this position may be discussed during the hiring process.  Why Stanford is for You Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy. Our culture and unique perks empower you with:  We pride ourselves in being a culture that encourages and empowers you.  The job duties listed are typical examples of work performed by positions in this job classification and are not designed to contain or be interpreted as a comprehensive inventory of all duties, tasks, and responsibilities. Specific duties and responsibilities may vary depending on department or program needs without changing the general nature and scope of the job or level of responsibility. Employees may also perform other duties as assigned.  Consistent with its obligations under the law, the University will provide reasonable accommodations to applicants and employees with disabilities. Applicants requiring a reasonable accommodation for any part of the application or hiring process should contact Stanford University Human Resources at stanfordelr@stanford.edu. For all other inquiries, please submit a contact form.  Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law.  Please note: Visa sponsorship is not available for this position. All candidates must be eligible to work and live in the U.S.",https://www.indeed.com/cmp/Stanford-University?campaignid=mobvjcmp&from=mobviewjob&tk=1i2ssgr8o2807081&fromjk=19e2405a40c014f2
